["genre", "subgenres"]	["entity的子类是什么？"]
["birthPlace", "官方文字"]	["entity的出生地的官方文字是什么？","在entity的出生地人们用什么语言交流？","entity的出生地人的交流语言是什么？","entity的出生地人说什么语言？"]
["associatedActs", "唱片公司"]	["entity的相关行为的唱片公司网站是什么？","什么网站是entity的相关行为的唱片公司？"]
["neighboringMunicipalities", "所属区"]	["entity的邻近城市的所属区是什么？","entity的邻近城市所属于哪个区？","entity的邻近城市位于哪个区域？"]
["genre", "instruments"]	["entity歌曲使用的乐器有什么？","entity歌曲用什么乐器演奏？","哪种乐器被用于表演entity？"]
["placeOfBirth", "官方語言"]	["entity的出生地的官方语言是什么？","在entity的出生地人们用什么语言交流？","entity的出生地人的交流语言是什么？","entity的出生地人说什么语言？"]
["country", "國家首都名稱"]	["entity的首都是什么？","哪里是entity的首都？"]
["language", "fam"]	["entity说的语言起源于什么语言？","entity说的语言由什么语言演变而来？"]
["label", "subsid"]	["制作entity的录音标签的子公司包括什么？","什么是制作entity的录音标签的子公司？"]
["placeOfBirth", "國家結構形式"]	["entity的出生地的国家结构形式是什么？","entity的出生地是什么体制的国家？"]
["location", "subdivisionName"]	["entity属于哪个国家？","entity位于哪个国家？"]
["country", "官方文字"]	["entity的官方文字是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["country", "最高點"]	["entity的最高点在哪里？","哪里是entity最高的地方？"]
["language", "states"]	["使用entity说的语言的地区有哪些？","哪里使用entity说的语言语言？"]
["draftTeam", "coach"]	["entity的选秀团队的教练是谁？","谁执教entity的选秀团队？"]
["birthPlace", "政治体制"]	["entity的出生地的政治体制是什么？","entity的出生地采用什么政治体制？"]
["draftTeam", "ceo"]	["entity的选秀团队的Centity的选秀团队O是谁？","entity的选秀团队的首席执行官是谁？","谁是entity的选秀团队的Centity的选秀团队O?"]
["managerclubs", "shirtsponsors"]	["entity管理的俱乐部的球衣供应商是谁？","谁为entity管理的俱乐部提供球衣？"]
["residence", "timezoneDst"]	["entity的住所使用的时区是什么？","entity的住所按哪个时区记时？"]
["placeOfBirth", "最高點"]	["entity的出生地的最高点在哪里？","哪里是entity的出生地最高的地方？"]
["locale", "capital"]	["entity的省会是哪里？","entity的省会叫什么？","哪里是entity的省会？"]
["placeOfDeath", "主要宗教"]	["entity的死亡地点的主要宗教是什么？","什么宗教在entity的死亡地点属于主流？"]
["artist", "代表作"]	["entity的艺术家的代表作是什么？","哪个作品是entity的艺术家的代表作？"]
["placeOfBirth", "國花"]	["entity的出生地的国花是什么？","哪种花是entity的出生地的国花？"]
["birthPlace", "最大湖泊"]	["entity的出生地的最大湖泊是什么湖？","哪个湖是entity的出生地中最大的湖泊？"]
["genre", "derivatives"]	["entity的衍生类型是什么？"]
["artist", "currentMembers"]	["entity的艺术家的现有成员是谁？","谁现在在entity的艺术家中？"]
["country", "最大城市名稱"]	["entity的最大的城市的名称是什么？","哪座城市是entity中最大的城市？"]
["locationCountry", "貨幣單位"]	["entity所在的国家的货币单位是什么？","entity所在的国家使用什么货币？","哪种货币在entity所在的国家流通？"]
["birthPlace", "最大城市名稱"]	["entity的出生地的最大的城市的名称是什么？","哪座城市是entity的出生地中最大的城市？"]
["spouse", "successor"]	["entity的配偶的后继是什么？"]
["allegiance", "currency"]	["entity的效忠中使用的货币是什么？","什么货币在entity的效忠中被使用？","entity的效忠中流通的货币是什么？"]
["subdivisionName", "政治制度二"]	["entity的国家政权是什么结构？"]
["clubs", "name"]	["entity所在的俱乐部的繁体形式是什么？","entity所在的俱乐部的繁体怎么写？"]
["managerclubs", "ground"]	["entity管理的俱乐部的主场在哪里？"]
["placeOfBirth", "貨幣單位"]	["entity的出生地的货币单位是什么？","entity的出生地使用什么货币？","哪种货币在entity的出生地流通？"]
["placeOfBirth", "subdivisionName"]	["entity的出生地属于哪个国家？","entity的出生地位于哪个国家？"]
["placeOfBirth", "中央政府所在地"]	["entity的出生地的中央政府所在地是哪里？"]
["birthDate", "最大城市名稱"]	["entity的最大的城市的名称是什么？","哪座城市是entity中最大的城市？"]
["format", "instruments"]	["entity的格式歌曲使用的乐器有什么？","entity的格式歌曲用什么乐器演奏？","哪种乐器被用于表演entity的格式？"]
["location", "governor"]	["entity的省长是谁？","谁是entity的总督？"]
["platforms", "generation"]	["entity所处的平台处于哪一世代？"]
["artist", "origin"]	["entity的艺术家来自哪里？","entity的艺术家的家乡在哪里？"]
["deathPlace", "subdivisionType"]	["entity的死亡地点的划分种类是什么？"]
["placeOfDeath", "subdivisionType"]	["entity的死亡地点的划分种类是什么？"]
["developer", "subsid"]	["entity的开发者的子公司包括什么？","什么是entity的开发者的子公司？"]
["origin", "中央銀行"]	["entity的中央银行是什么？","什么是entity的中央银行？"]
["birthPlace", "曆法"]	["entity的出生地的历法是什么？","entity的出生地地区采用什么历法？"]
["placeOfBirth", "west"]	["entity的出生地的西部城市是什么？","哪个城市位于entity的出生地西部？"]
["placeOfBirth", "southeast"]	["entity的出生地的东南部是哪个城市？","哪个城市位于entity的出生地的东南部？"]
["placeOfBirth", "northwest"]	["entity的出生地的西北部是哪个城市？","哪个城市位于entity的出生地的西北部？"]
["placeOfDeath", "timezone"]	["entity的死亡地点使用的时区是什么？","entity的死亡地点按哪个时区记时？"]
