["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["workInstitutions", "provost"]	["谁是entity的工作机构的教务长？"]
["使用平臺", "label"]	["entity的发布平台的标签是什么？"]
["相關團體", "label"]	["entity的相关团体的标签是什么？"]
["constell", "family"]	["谁是entity所属于的星座的家人？","谁是entity所属于的星座的父亲？"]
["city", "leaderName"]	["谁是entity的所在城市的领导者？"]
["教育程度", "ethnicGroups"]	["entity的毕业学校属于哪个民族？"]
["演出", "occupation"]	["出演entity的演员从事的职业是什么？","出演entity的演员的工作是什么？"]
["代表作", "format"]	["entity的代表作品的格式是什么？"]
["民族", "group"]	["entity所属的民族属于哪个组？"]
["territory", "leaderName"]	["谁是entity覆盖的区域的领导者？"]
["音樂類型", "stylisticOrigins"]	["entity的音乐类型的风格起源是什么？"]
["subdivisionName", "sovereigntyType"]	["什么是entity的主权类型？"]
["city", "leaderTitle"]	["entity的所在城市在哪里作为leaderTitle？"]
["spouse", "governor"]	["谁是entity的配偶的现任州长？"]
["president", "governor"]	["谁是entity效力的总统的现任州长？"]
["nationalteam", "club"]	["哪个俱乐部属于entity？"]
["region", "p"]	["如何用汉语拼音拼写entity所在的行政区？","entity所在的行政区的中文拼音是什么？"]
["parent", "owner"]	["谁是entity的主公司的所有者？"]
["parent", "divisions"]	["哪个唱片公司的entity的主公司拥有？"]
["residence", "leaderName"]	["谁是entity的居住地的领导者？"]
["doctoralAdvisor", "knownFor"]	["什么是entity的博士生导师知道的？"]
["doctoralAdvisor", "religion"]	["entity的博士生导师的宗教是什么？"]
["genusAuthority", "knownFor"]	["什么是entity的属PRU（生物PRU（）的命名者知道的？"]
["genusAuthority", "title"]	["什么是entity的属PRU（生物PRU（）的命名者的名字？"]
["after", "predecessor"]	["谁是entity的的前身？"]
["語言", "script"]	["什么是entity使用的语言的盲文？"]
["publisher", "subsid"]	["entity的出版商子公司的名称是什么？"]
["platforms", "media"]	["什么是entity的发布平台的媒体？"]
["播放地區", "cities"]	["哪个列表按人口排列entity中的城市地区？"]
["starring", "children"]	["参演entity的演员孩子的名字是什么？"]
["producer", "label"]	["entity的制片人的标签是什么？"]
["genre", "instruments"]	["entity的类型使用什么工具？"]
["title", "format"]	["entity的标题的格式是什么？"]
